sharpness,luminance,information,corfulnessss,class
0.3747,0.1454,4.2873,2.8866,dark
0.3995,0.1481,4.242,3.0692,dark
0.3169,0.1468,3.9504,28.4205,dark
0.4997,0.1487,3.8338,37.7574,dark
0.6989,0.155,3.8667,5.3085,dark
0.5673,0.1421,3.9532,6.6945,dark
0.3911,0.1469,4.0492,2.8756,dark
0.3083,0.1509,4.123,3.8805,dark
0.349,0.1485,3.9968,4.2678,dark
0.2463,0.1722,4.1215,4.7416,dark
0.2862,0.0922,3.8058,5.384,dark
0.2638,0.067,3.7082,6.5049,dark
0.1981,0.0801,3.7092,6.5055,dark
0.1575,0.049,3.3037,6.7555,dark
0.1527,0.0696,3.7713,8.9117,dark
0.123,0.0523,3.4059,7.3357,dark
0.2225,0.0472,3.2295,5.8724,dark
0.1808,0.12,4.0103,6.0976,dark
0.2297,0.0958,3.9355,7.4096,dark
0.2935,0.099,3.7108,4.1817,dark
0.3127,0.1034,3.8328,4.8951,dark
0.1609,0.085,2.4907,1.5657,dark
0.219,0.104,3.6893,3.9658,dark
0.5724,0.0707,3.3855,6.212,dark
0.1928,0.0912,4.5096,25.9504,dark
0.1978,0.0805,4.0309,22.5141,dark
0.1696,0.0971,4.5047,29.1561,dark
0.2416,0.0895,4.2491,16.7962,dark
0.23,0.1101,4.4897,33.1868,dark
0.333,0.1025,4.0059,5.8022,dark
0.4337,0.106,4.0476,12.8875,dark
0.421,0.0849,3.7599,5.9193,dark
0.2803,0.0941,4.619,28.1635,dark
0.3163,0.0969,4.6503,30.7118,dark
0.1191,0.0893,4.3071,19.2085,dark
0.778,0.0688,3.8436,5.8266,dark
0.8417,0.0868,3.6308,3.9673,dark
0.7226,0.0734,3.9233,6.3561,dark
0.486,0.132,3.6714,3.1142,dark
0.4952,0.1316,3.631,3.3871,dark
0.538,0.1267,3.6427,3.2254,dark
0.2212,0.0767,4.0764,25.3795,dark
0.1825,0.0771,4.0642,20.8672,dark
0.1923,0.0833,4.3014,37.4292,dark
0.1459,0.0492,3.1388,7.7323,dark
0.1002,0.0403,2.7191,14.3916,dark
0.404,0.0782,3.8202,23.8273,dark
0.2608,0.0923,3.926,34.4909,dark
0.2336,0.0738,3.5324,15.5893,dark
0.4392,0.0828,3.6495,2.3511,dark
0.2307,0.0674,3.9608,8.0409,dark
0.2968,0.1092,4.2837,25.8182,dark
0.3675,0.1133,4.2404,22.1609,dark
0.2667,0.0867,4.4141,24.195,dark
0.3431,0.0915,4.1258,15.8776,dark
0.3675,0.1063,4.0743,12.373,dark
0.2698,0.1128,4.1167,12.6906,dark
0.5239,0.1086,3.4372,3.4139,dark
0.3719,0.1215,3.2003,2.2986,dark
0.4836,0.1274,3.4189,4.1126,dark
0.1729,0.0847,4.3337,15.2802,dark
0.1626,0.097,4.0093,4.5262,dark
0.5075,0.1108,4.0879,8.6809,dark
0.6467,0.1047,3.9501,6.8117,dark
0.4487,0.1081,4.0577,6.612,dark
0.3111,0.1047,4.2681,6.2613,dark
0.2574,0.0985,4.5043,15.8938,dark
0.4368,0.1074,4.3777,19.8984,dark
0.4437,0.1,4.3279,19.2106,dark
0.2821,0.087,4.3975,9.2127,dark
0.3471,0.1,4.032,6.5398,dark
0.0438,0.4372,5.0148,6.5292,dark
0.0459,0.4311,4.9461,6.4885,dark
0.055,0.4088,4.9149,6.6349,dark
0.0671,0.4094,4.7987,4.2607,dark
0.0449,0.429,4.8288,5.1689,dark
0.2918,0.2171,4.7367,12.8042,dark
0.1078,0.1911,5.0425,17.4479,dark
0.0437,0.173,5.1201,19.2152,dark
0.0192,0.1915,5.0894,15.7391,dark
0.028,0.1743,5.1488,16.9851,dark
0.007,0.4531,5.2735,17.3934,normal
0.0133,0.4665,5.1962,20.9426,normal
0.0091,0.4638,5.2205,20.4446,normal
0.0103,0.4663,5.2549,21.7158,normal
0.0122,0.4603,5.2511,16.3766,normal
0.0129,0.4524,5.2288,28.2005,normal
0.0276,0.4885,5.0346,6.2105,normal
0.0128,0.4874,5.0356,5.0831,normal
0.0038,0.4984,5.0836,6.3784,normal
0.0156,0.4651,5.3876,7.4212,normal
0.016,0.4733,5.3944,6.2681,normal
0.1915,0.1858,5.1186,9.8476,normal
0.1881,0.1818,5.1205,9.3118,normal
0.0472,0.4522,5.3298,38.5569,normal
0.0294,0.473,5.2118,40.8895,normal
0.003,0.478,4.8675,47.9418,normal
0.0156,0.4843,5.1187,42.4261,normal
0.015,0.4278,4.6753,15.4263,normal
0.0174,0.4219,4.5208,13.6967,normal
0.1596,0.1851,4.7301,17.5496,normal
0.4934,0.4922,5.0488,22.0091,normal
0.1528,0.188,4.4243,48.5301,normal
0.1845,0.1845,4.4702,43.8662,normal
0.4741,0.4507,5.0607,8.6396,normal
0.4325,0.4573,5.118,7.0347,normal
0.1778,0.4442,4.9948,7.5268,normal
0.1145,0.4479,4.8744,18.6012,normal
0.1534,0.4039,5.1064,15.7672,normal
0.1668,0.2035,5.1939,8.2009,normal
0.0401,0.4404,5.1071,16.9826,normal
0.1725,0.4318,5.1585,16.9978,normal
0.0571,0.4346,5.0277,16.7244,normal
0.1333,0.4259,4.7726,4.2836,normal
0.3023,0.4301,4.9456,4.6941,normal
0.3222,0.431,4.9662,4.8714,normal
0.245,0.4371,4.9439,4.166,normal
0.2409,0.4377,4.9126,4.1973,normal
0.2044,0.2542,4.4598,45.8824,normal
0.2726,0.2556,4.4172,67.741,normal
0.6106,0.4104,4.5513,7.1862,normal
0.5644,0.4006,4.6316,8.7052,normal
0.1642,0.4588,4.8042,6.3613,normal
0.1866,0.405,4.6467,6.5607,normal
0.2632,0.247,4.5124,7.0011,normal
0.17,0.2596,4.5154,5.9356,normal
0.0523,0.1702,5.1449,19.5331,normal
0.0198,0.1782,5.1671,24.9025,normal
0.0324,0.1496,5.1753,26.0752,normal
0.1974,0.1322,4.9936,29.2111,normal
0.2482,0.165,5.2277,33.7829,normal
0.2246,0.1499,5.0411,30.8962,normal
0.0298,0.1314,4.9457,31.61,normal
0.0346,0.7457,5.1516,23.9412,normal
0.0368,0.1702,5.2544,26.6755,normal
0.0475,0.5099,4.8664,12.5443,normal
0.0736,0.5242,5.0252,17.1673,normal
0.0053,0.4741,3.6462,2.3025,normal
0.0093,0.4708,4.8764,15.4859,normal
0.2435,0.4849,4.7916,21.6525,normal
0.078,0.4363,5.2764,20.2911,normal
0.1017,0.3994,4.909,23.6733,normal
0.1038,0.4661,5.2673,27.6298,normal
0.1223,0.4366,5.1595,16.5177,normal
0.1584,0.4804,5.27,32.0135,normal
0.0634,0.6935,5.0937,13.6161,normal
0.141,0.4832,5.1598,29.8969,normal
0.1631,0.4961,5.0214,21.7459,normal
0.1165,0.4413,5.2967,27.7826,normal
0.1333,0.4452,5.3423,28.813,normal
0.0311,0.4611,5.1992,33.5536,normal
0.6197,0.4469,5.1448,13.0449,normal
0.6167,0.4457,4.7277,12.1053,normal
0.5904,0.4377,5.0647,17.8409,normal
0.053,0.6821,4.6304,6.6444,normal
0.0696,0.6781,4.5522,7.1763,normal
0.0644,0.6764,4.6533,6.7987,normal
0.1088,0.1923,5.233,30.3839,normal
0.082,0.1915,5.2624,29.4695,normal
0.0787,0.1742,5.3315,30.3233,normal
0.1158,0.3823,4.4776,10.6944,normal
0.0284,0.2295,3.7727,16.0305,normal
0.1047,0.4456,5.0696,81.2102,normal
0.0849,0.421,5.1131,97.5003,normal
0.1119,0.4319,4.8639,65.7184,normal
0.0986,0.4512,4.904,5.7583,normal
0.0839,0.2278,5.0506,11.6731,normal
0.1258,0.2171,5.2477,36.2415,normal
0.1164,0.7331,5.2913,41.7239,normal
0.1103,0.2394,5.1916,27.6407,normal
0.0925,0.4568,5.2328,25.2909,normal
0.0837,0.4848,5.2167,26.7375,normal
0.053,0.4641,5.1717,24.736,normal
0.2298,0.5244,4.5216,9.2859,normal
0.0863,0.6541,4.2872,8.0154,normal
0.1084,0.6829,4.4579,18.6194,normal
0.0417,0.4235,5.091,14.1984,normal
0.0466,0.4732,5.1293,16.6918,normal
0.2406,0.4761,5.1665,27.6721,normal
0.1936,0.4755,5.083,22.9171,normal
0.1159,0.4444,5.0498,19.2889,normal
0.1102,0.7198,5.2443,17.6839,normal
0.1182,0.8235,5.3249,20.4089,normal
0.1767,0.5067,5.2022,23.492,normal
0.1748,0.5054,5.2052,23.4099,normal
0.1148,0.4301,4.9908,19.2759,normal
0.1241,0.4395,5.1668,18.0847,normal
0.016,0.4892,5.1464,6.7019,normal
0.028,0.4872,5.0977,7.0864,normal
0.037,0.4869,5.0593,6.8667,normal
0.0148,0.4922,4.9466,4.9002,normal
0.009,0.5105,4.9772,5.613,normal
0.266,0.4695,4.8794,13.6386,normal
0.0216,0.4575,5.173,17.8346,normal
0.0129,0.4605,5.2494,19.3919,normal
0.0032,0.4559,5.223,16.3048,normal
0.0074,0.4534,5.2762,17.257,normal
0.0082,0.4877,5.3741,16.7405,bright
0.0129,0.7585,5.279,18.4902,bright
0.0076,0.7661,5.3517,18.9114,bright
0.0101,0.7624,5.3946,20.102,bright
0.0147,0.485,5.3453,15.7885,bright
0.0136,0.7662,5.4093,35.7508,bright
0.0223,0.5058,5.0398,6.3456,bright
0.0165,0.5064,5.098,5.4533,bright
0.0071,0.4915,5.0843,6.2857,bright
0.0251,0.8495,5.2294,7.4386,bright
0.0329,0.857,5.163,6.8278,bright
0.1864,0.1837,5.1439,9.0998,bright
0.1884,0.1868,5.159,9.2625,bright
0.0277,0.8128,5.3831,48.5443,bright
0.009,0.7885,5.2597,46.7272,bright
0.0044,0.6889,4.9892,52.2538,bright
0.0129,0.7374,5.2054,45.0499,bright
0.0136,0.4204,4.5919,14.18,bright
0.0209,0.418,4.6563,16.2641,bright
0.1473,0.1886,4.7126,16.51,bright
0.4013,0.8134,5.0282,42.9368,bright
0.076,0.8386,4.4914,73.2286,bright
0.0764,0.8467,4.5485,72.1616,bright
0.4633,0.4535,5.1085,9.6492,bright
0.435,0.4544,5.0862,7.8647,bright
0.1603,0.4477,5.0071,6.4992,bright
0.115,0.4532,4.8404,17.341,bright
0.1349,0.4427,5.2065,16.6372,bright
0.1255,0.8067,5.2425,9.1306,bright
0.0386,0.4559,5.0838,16.6438,bright
0.1421,0.4365,5.2175,17.5679,bright
0.0422,0.4482,5.137,17.7604,bright
0.1376,0.4264,4.8162,6.6509,bright
0.3093,0.4338,4.9893,5.1977,bright
0.33,0.4236,4.8933,5.8639,bright
0.2389,0.4479,4.9795,7.0579,bright
0.2389,0.4277,4.8573,6.879,bright
0.2045,0.412,4.5137,52.9426,bright
0.2654,0.2472,4.3466,61.4809,bright
0.6044,0.4153,4.5366,7.0197,bright
0.5696,0.4147,4.6806,10.2098,bright
0.1394,0.4631,4.8444,6.8755,bright
0.1889,0.3965,4.6178,6.8869,bright
0.2786,0.243,4.4381,7.4567,bright
0.1657,0.2539,4.4805,7.1149,bright
0.1363,0.8766,4.1948,23.6426,bright
0.0537,0.8723,4.8108,31.8411,bright
0.1497,0.8871,4.5041,29.0325,bright
0.437,0.8321,5.1267,34.8867,bright
0.5005,0.857,4.8267,34.6749,bright
0.3001,0.8257,5.0295,35.6482,bright
0.1087,0.8512,5.0462,49.3035,bright
0.0239,0.9256,3.5713,28.1397,bright
0.0332,0.9083,4.2019,28.4189,bright
0.087,0.9457,3.6697,22.0322,bright
0.0949,0.9368,3.7441,27.8216,bright
0.0013,0.9592,2.4686,1.8902,bright
0.0053,0.9463,3.2567,13.1749,bright
0.251,0.4815,4.7609,21.4061,bright
0.0896,0.8952,4.3461,15.3377,bright
0.1306,0.8973,4.0694,18.5448,bright
0.1617,0.9347,4.176,34.6529,bright
0.0986,0.9034,4.3166,17.6088,bright
0.1938,0.9114,4.0718,21.2597,bright
0.0715,0.9235,3.7199,15.152,bright
0.1173,0.9203,3.9387,16.4971,bright
0.1796,0.9173,3.9041,21.3041,bright
0.141,0.9134,4.1223,18.5707,bright
0.1156,0.9183,4.1319,16.7707,bright
0.0586,0.9014,4.6288,21.1934,bright
0.6661,0.8905,4.3795,11.0741,bright
0.6924,0.9328,3.7437,13.8012,bright
0.395,0.8992,4.2738,15.7748,bright
0.061,0.9657,2.4855,5.5212,bright
0.1114,0.9646,2.3674,5.0701,bright
0.0701,0.9683,2.6416,5.4518,bright
0.1307,0.8928,4.3854,21.5556,bright
0.1224,0.8892,4.4416,21.4502,bright
0.0984,0.8972,4.3347,25.6606,bright
0.1241,0.8427,4.4269,6.2436,bright
0.1282,0.8477,3.5999,11.0971,bright
0.2428,0.9043,4.3475,58.0473,bright
0.2006,0.9071,4.2918,52.7677,bright
0.1885,0.9168,4.0559,59.3548,bright
0.2842,0.9348,3.7559,4.162,bright
0.0836,0.7997,4.9517,20.8945,bright
0.1256,0.8846,3.8846,16.2081,bright
0.1161,0.9114,3.9152,15.1875,bright
0.1091,0.8712,3.9604,16.0058,bright
0.1158,0.8968,4.2349,14.5542,bright
0.109,0.9087,4.1371,16.0542,bright
0.1201,0.9251,3.9029,13.8363,bright
0.0847,0.9697,3.0448,8.297,bright
0.0795,0.9706,2.4926,12.9956,bright
0.095,0.9538,2.358,28.7518,bright
0.0434,0.8229,4.9849,11.9752,bright
0.0381,0.9498,3.7422,44.1334,bright
0.2339,0.9276,3.9514,26.4397,bright
0.218,0.937,3.8726,22.1823,bright
0.1775,0.9395,3.8047,15.3883,bright
0.1187,0.9221,4.1986,18.9025,bright
0.0862,0.8948,4.1967,17.4979,bright
0.1044,0.9234,4.1362,17.6389,bright
0.104,0.9215,4.1634,17.652,bright
0.1505,0.8795,4.1677,14.899,bright
0.1009,0.8896,4.3719,16.4712,bright
0.0175,0.4906,5.1561,6.7049,bright
0.0249,0.4906,5.1479,7.0307,bright
0.0321,0.4941,5.157,6.8803,bright
0.0141,0.5136,5.0141,5.2169,bright
0.0111,0.5128,5.0141,5.6754,bright
0.298,0.4728,4.9566,12.4847,bright
0.0214,0.4711,5.2624,16.9474,bright
0.01,0.4781,5.3396,18.3662,bright
0.0013,0.4743,5.2913,15.6017,bright
0.0099,0.4816,5.3658,16.9365,bright
0.0111,0.1429,4.653,12.7785,dark
0.0176,0.1466,4.4882,14.726,dark
0.012,0.1507,4.6209,16.4747,dark
0.0092,0.1479,4.7103,18.2771,dark
0.0145,0.1476,4.6225,13.5262,dark
0.0247,0.1353,4.6285,17.2622,dark
0.0633,0.1494,4.2461,3.7415,dark
0.0409,0.145,4.1984,2.4224,dark
0.021,0.149,4.3345,3.8296,dark
0.0152,0.1459,4.954,6.6282,dark
0.0211,0.1496,4.9353,6.6092,dark
0.2298,0.1217,4.4712,6.51,dark
0.232,0.1239,4.521,6.6521,dark
0.0498,0.1311,4.8099,21.266,dark
0.0727,0.1364,4.587,21.2049,dark
0.0173,0.129,4.0301,23.5936,dark
0.0669,0.1363,4.3703,24.0743,dark
0.0506,0.1801,4.1141,9.6296,dark
0.078,0.1773,4.0208,11.0705,dark
0.1571,0.1714,4.3203,11.3286,dark
0.6145,0.1458,4.2865,7.3704,dark
0.3434,0.1313,3.7815,16.524,dark
0.3026,0.131,3.665,14.5559,dark
0.6618,0.1422,4.2757,3.3793,dark
0.5896,0.1458,4.3462,3.6967,dark
0.331,0.1484,4.3072,4.235,dark
0.2153,0.1506,4.0908,10.0052,dark
0.2977,0.1225,4.5178,9.229,dark
0.3831,0.1437,4.6299,5.4077,dark
0.0893,0.1535,4.6,9.8518,dark
0.3449,0.1268,4.4524,9.5538,dark
0.1255,0.1302,4.3002,8.4833,dark
0.3047,0.1501,4.0966,2.9843,dark
0.435,0.1528,4.3268,3.9017,dark
0.4102,0.1747,4.4765,4.0653,dark
0.359,0.1462,4.2622,2.858,dark
0.3062,0.1488,4.2197,3.0189,dark
0.3631,0.1488,3.8959,28.2317,dark
0.4064,0.149,3.7978,37.6711,dark
0.6718,0.1556,3.836,5.2503,dark
0.5712,0.1427,3.9247,6.5481,dark
0.29,0.147,4.0121,2.8484,dark
0.3342,0.1529,4.0599,3.784,dark
0.4106,0.15,3.9461,4.1416,dark
0.2308,0.1756,4.0608,4.6316,dark
0.1719,0.0926,3.8129,5.1989,dark
0.1994,0.0673,3.6982,6.1765,dark
0.0703,0.0803,3.7029,6.3665,dark
0.0688,0.0491,3.2975,6.6417,dark
0.0391,0.0701,3.7472,8.7606,dark
0.0652,0.0527,3.3979,7.208,dark
0.0737,0.0473,3.2333,5.7864,dark
0.1211,0.12,4.0068,5.9541,dark
0.1272,0.0958,3.9429,7.2377,dark
0.125,0.099,3.6963,4.0244,dark
0.1577,0.1034,3.8316,4.7551,dark
0.145,0.0852,2.4861,1.5201,dark
0.0609,0.1041,3.6803,3.8774,dark
0.5037,0.0706,3.3469,6.1226,dark
0.0979,0.0922,4.5065,25.7057,dark
0.1159,0.0811,4.0118,22.364,dark
0.0948,0.0981,4.5102,28.8898,dark
0.1419,0.0907,4.2367,16.6008,dark
0.1278,0.1113,4.4782,33.1191,dark
0.2296,0.1029,3.9997,5.6618,dark
0.3342,0.1062,4.0176,12.497,dark
0.1854,0.0851,3.7431,5.825,dark
0.0949,0.0942,4.6205,27.8247,dark
0.0823,0.0973,4.6566,30.3229,dark
0.031,0.0907,4.335,18.8451,dark
0.5622,0.0691,3.842,5.6976,dark
0.7527,0.087,3.5399,3.734,dark
0.7037,0.0786,3.9303,6.174,dark
0.3921,0.132,3.6635,3.08,dark
0.3754,0.1317,3.6145,3.3653,dark
0.4025,0.1267,3.6342,3.2048,dark
0.1881,0.0773,4.0757,25.177,dark
0.1795,0.0782,4.0698,20.517,dark
0.1776,0.084,4.2985,37.3154,dark
0.1166,0.05,3.1354,7.4527,dark
0.0458,0.0416,2.722,14.1218,dark
0.245,0.0785,3.8145,23.6406,dark
0.1447,0.0924,3.9084,34.1814,dark
0.1848,0.0739,3.5176,15.4845,dark
0.2898,0.083,3.6415,2.3128,dark
0.1417,0.0675,3.9536,7.8445,dark
0.2263,0.1105,4.2873,25.7564,dark
0.2693,0.1138,4.2377,22.1118,dark
0.1539,0.0883,4.4163,24.1446,dark
0.2536,0.0923,4.1156,15.7396,dark
0.1862,0.1064,4.0601,12.2464,dark
0.1697,0.1132,4.1045,12.5002,dark
0.374,0.1087,3.429,3.3611,dark
0.0821,0.1215,3.2145,2.1613,dark
0.2654,0.1276,3.4298,3.8535,dark
0.0651,0.0852,4.3384,15.0203,dark
0.0908,0.0976,4.0086,4.3485,dark
0.4297,0.1109,4.0561,8.3769,dark
0.5611,0.1047,3.916,6.5424,dark
0.4722,0.1088,4.0026,6.2924,dark
0.3114,0.1064,4.2382,5.9158,dark
0.1962,0.1007,4.5224,15.6259,dark
0.3495,0.1082,4.37,19.8256,dark
0.3532,0.101,4.3198,19.1328,dark
0.171,0.0908,4.4175,8.9219,dark
0.2949,0.1011,4.0261,6.1763,dark
0.0206,0.4344,4.9937,6.2449,dark
0.0252,0.4286,4.9278,6.2591,dark
0.0341,0.4068,4.8973,6.417,dark
0.0189,0.4086,4.798,4.0961,dark
0.0093,0.4284,4.8205,4.9511,dark
0.2867,0.2215,4.6792,12.5687,dark
0.0261,0.1961,5.017,17.1277,dark
0.0087,0.1785,5.0995,18.7816,dark
0.0043,0.196,5.0565,15.3729,dark
0.0074,0.1791,5.1252,16.5444,dark
