sharpness,luminance,information,corfulnessss,class
0.7815,0.4526,5.1296,6.8318,bright
0.7412,0.4537,5.0205,19.4819,bright
0.8038,0.4418,5.3219,18.7873,bright
0.7918,0.8114,5.3182,10.2392,bright
0.731,0.4541,5.2253,18.7814,bright
0.7717,0.4423,5.2957,19.4667,bright
0.721,0.45,5.239,19.7419,bright
0.7123,0.4264,4.9261,6.817,bright
0.7991,0.4352,5.0577,5.4012,bright
0.793,0.4217,4.9826,6.1369,bright
0.7757,0.4441,5.0657,7.2712,bright
0.7818,0.4262,4.9426,7.0889,bright
0.7571,0.2534,4.694,53.6534,bright
0.7337,0.2391,4.4577,61.8108,bright
0.82,0.4183,4.645,7.3301,bright
0.8244,0.4184,4.7863,10.815,bright
0.7934,0.4584,4.9832,7.2245,bright
0.7401,0.2315,4.8143,7.3296,bright
0.7626,0.2304,4.6218,7.8027,bright
0.74,0.2414,4.6691,7.3867,bright
0.7786,0.8916,4.1422,25.658,bright
0.5244,0.8891,4.7407,34.9631,bright
0.6177,0.9015,4.4711,30.4349,bright
0.5519,0.8489,5.1291,36.2806,bright
0.6235,0.8804,4.8148,36.3211,bright
0.5428,0.8343,5.0325,36.992,bright
0.3158,0.8498,5.025,50.5831,bright
0.5378,0.9314,3.4195,29.2439,bright
0.5791,0.9167,4.0751,30.0819,bright
0.6799,0.9484,3.62,23.3166,bright
0.7125,0.9426,3.6219,29.2855,bright
0.8816,0.9591,2.4272,2.3945,bright
0.5574,0.9519,3.1825,14.395,bright
0.6215,0.4698,4.8472,22.5099,bright
0.6847,0.9019,4.2616,17.2009,bright
0.7378,0.9017,4.0266,19.3608,bright
0.7191,0.9417,4.0527,36.1712,bright
0.6933,0.9121,4.2235,19.4171,bright
0.7456,0.9207,3.9645,22.8786,bright
0.6717,0.9275,3.631,16.0348,bright
0.7341,0.9259,3.8156,17.7887,bright
0.6923,0.9221,3.8822,22.4468,bright
0.7005,0.9166,4.043,20.7774,bright
0.6981,0.9227,4.0272,19.173,bright
0.7772,0.9046,4.5671,22.4384,bright
0.8595,0.8953,4.3591,12.8118,bright
0.9194,0.9338,3.8212,15.3507,bright
0.9118,0.9028,4.2571,17.5943,bright
0.8434,0.9702,2.3735,5.6239,bright
0.8579,0.9687,2.2309,5.1799,bright
0.835,0.9725,2.5279,5.5543,bright
0.6877,0.9,4.3288,22.8644,bright
0.7114,0.8957,4.3727,22.7495,bright
0.7434,0.9033,4.1907,26.959,bright
0.7952,0.8438,4.4257,6.4794,bright
0.7584,0.8479,3.5305,11.2761,bright
0.7111,0.9093,4.3276,60.5909,bright
0.6541,0.912,4.2838,55.6866,bright
0.7707,0.9178,4.0362,60.8652,bright
0.8286,0.9349,3.7357,4.6251,bright
0.6027,0.8017,4.9372,21.5661,bright
0.744,0.8936,3.8325,17.7879,bright
0.7044,0.9185,3.8292,16.6088,bright
0.696,0.8763,3.9218,17.316,bright
0.7151,0.9039,4.1511,16.109,bright
0.7223,0.9176,4.0736,17.447,bright
0.7054,0.9269,3.7751,14.9092,bright
0.7171,0.9734,2.9549,9.9221,bright
0.5293,0.9749,2.4014,15.7533,bright
0.6323,0.9602,2.2445,31.7356,bright
0.574,0.8266,4.9562,12.4141,bright
0.3937,0.9558,3.6771,45.3664,bright
0.8076,0.9324,3.8358,27.7712,bright
0.7977,0.9404,3.7528,23.7432,bright
0.6396,0.9451,3.6732,17.2488,bright
0.6378,0.9346,3.9787,21.3013,bright
0.6826,0.9072,3.9895,19.8709,bright
0.7255,0.9326,4.0207,19.5363,bright
0.7251,0.9306,4.0553,19.555,bright
0.7685,0.8898,4.0253,16.9026,bright
0.7067,0.9047,4.1705,18.8481,bright
0.4553,0.5028,5.1937,7.3237,bright
0.4488,0.5056,5.1738,7.6341,bright
0.491,0.5068,5.1823,7.5781,bright
0.4822,0.5249,5.0032,5.7084,bright
0.4469,0.5209,5.0224,6.2104,bright
0.7866,0.4705,5.0567,12.8524,bright
0.6944,0.4724,5.3057,17.6506,bright
0.5081,0.4809,5.3744,19.2318,bright
0.4344,0.4726,5.347,16.2358,bright
0.4623,0.4796,5.3965,17.6394,bright
0.4656,0.1385,4.6774,13.5094,dark
0.572,0.1426,4.5313,15.4015,dark
0.5027,0.1467,4.6585,17.2079,dark
0.555,0.1426,4.7457,19.0264,dark
0.4876,0.1428,4.6656,14.0874,dark
0.5213,0.1316,4.6524,17.8324,dark
0.5406,0.1485,4.2637,3.8497,dark
0.6908,0.1446,4.2177,2.4775,dark
0.5317,0.1482,4.3455,3.8924,dark
0.4399,0.1374,4.9295,6.9863,dark
0.4181,0.143,4.9235,6.7982,dark
0.6405,0.1181,4.4937,6.7877,dark
0.6412,0.1202,4.5389,6.9087,dark
0.6764,0.1242,4.8171,21.9436,dark
0.5891,0.1316,4.5952,21.7123,dark
0.3776,0.1271,4.0145,23.8633,dark
0.3704,0.1344,4.3664,24.3777,dark
0.6943,0.1779,4.186,9.8977,dark
0.7361,0.1752,4.0714,11.5699,dark
0.6928,0.1672,4.4236,12.0702,dark
0.8795,0.1419,4.3785,7.3952,dark
0.8428,0.124,3.9389,16.5288,dark
0.8388,0.1233,3.8207,14.5966,dark
0.8483,0.1375,4.3358,3.5,dark
0.8373,0.1415,4.4097,3.7097,dark
0.832,0.1446,4.4088,4.2162,dark
0.758,0.1444,4.2571,10.9672,dark
0.823,0.122,4.6274,10.2728,dark
0.827,0.1403,4.7096,5.5016,dark
0.745,0.1502,4.7326,10.866,dark
0.7955,0.1254,4.5141,10.4168,dark
0.7528,0.1268,4.3856,9.1677,dark
0.7423,0.1459,4.1976,2.9728,dark
0.8288,0.1506,4.3802,3.8809,dark
0.8105,0.1718,4.5521,4.1178,dark
0.8002,0.142,4.3328,2.8475,dark
0.8142,0.1454,4.2829,3.0546,dark
0.7909,0.1403,4.0488,28.5788,dark
0.8085,0.1481,3.9038,37.8323,dark
0.8931,0.1538,3.9414,5.3045,dark
0.889,0.1413,4.0183,6.7683,dark
0.8148,0.1447,4.1373,2.8533,dark
0.7756,0.1453,4.2363,3.9454,dark
0.7876,0.144,4.1087,4.3515,dark
0.767,0.165,4.2469,4.8166,dark
0.7378,0.092,3.8237,5.6233,dark
0.7262,0.0669,3.7107,6.856,dark
0.8209,0.08,3.7346,6.6262,dark
0.705,0.0489,3.3484,6.8931,dark
0.7557,0.0693,3.8168,9.0588,dark
0.6943,0.0521,3.4441,7.4705,dark
0.6458,0.0472,3.2397,5.9618,dark
0.7766,0.1199,4.0188,6.2941,dark
0.7412,0.0958,3.9412,7.6155,dark
0.7215,0.099,3.7403,4.4516,dark
0.7865,0.1034,3.8471,5.1099,dark
0.9931,0.0843,2.4986,1.8726,dark
0.8955,0.104,3.7132,4.0201,dark
0.8112,0.0707,3.4287,6.2588,dark
0.788,0.0897,4.5182,26.2944,dark
0.8089,0.0796,4.0634,22.7676,dark
0.779,0.0953,4.5035,29.6241,dark
0.8175,0.0881,4.2729,17.1822,dark
0.8023,0.1087,4.5094,33.295,dark
0.8596,0.1022,4.026,6.1149,dark
0.8169,0.1055,4.086,13.5325,dark
0.8915,0.0847,3.7853,6.0998,dark
0.8113,0.0933,4.628,28.7754,dark
0.803,0.0957,4.6502,31.3537,dark
0.8426,0.0883,4.2877,19.7706,dark
0.9063,0.0677,3.8523,6.0735,dark
0.9542,0.0858,3.7394,4.3201,dark
0.9209,0.0715,3.8923,6.7325,dark
0.9334,0.1319,3.6912,3.279,dark
0.9192,0.1315,3.6474,3.4486,dark
0.9407,0.1265,3.6607,3.3119,dark
0.7593,0.0751,4.0859,25.7171,dark
0.7485,0.0747,4.0724,21.421,dark
0.7437,0.081,4.3187,37.6902,dark
0.7624,0.0485,3.1495,8.1927,dark
0.6202,0.0389,2.7022,14.8003,dark
0.7923,0.0779,3.8353,24.0983,dark
0.8673,0.0921,3.9543,34.8382,dark
0.7972,0.0737,3.5595,15.729,dark
0.8189,0.0824,3.6534,2.4795,dark
0.7395,0.0671,3.9831,8.2859,dark
0.8027,0.1075,4.2866,25.9286,dark
0.8313,0.113,4.2456,22.2946,dark
0.7817,0.0842,4.4086,24.3185,dark
0.8101,0.0909,4.1483,16.1419,dark
0.8868,0.1061,4.1126,12.637,dark
0.7854,0.1121,4.1544,13.0095,dark
0.9691,0.1084,3.4441,3.5853,dark
0.8006,0.1212,3.2165,2.6414,dark
0.7701,0.1269,3.4394,4.6018,dark
