sharpness,luminance,information,colorfulness,class
0.4763,0.3908,5.3109,18.1591,1
0.5252,0.4035,5.2555,21.5738,1
0.4359,0.4067,5.2732,21.1508,1
0.5062,0.3882,5.3038,22.5225,1
0.4495,0.4071,5.3012,16.9231,1
0.4739,0.3813,5.2683,28.7363,1
0.4983,0.4239,5.0614,6.713,1
0.6404,0.4401,5.0528,5.5699,1
0.4435,0.4307,5.0961,6.7816,1
0.4569,0.3932,5.4049,8.0573,1
0.3954,0.4108,5.4103,6.605,1
0.6005,0.3202,5.1582,10.274,1
0.5995,0.3154,5.1568,9.7242,1
0.689,0.3703,5.3628,39.2966,1
0.5869,0.4154,5.2416,41.5753,1
0.3274,0.425,4.8516,48.3989,1
0.3341,0.4172,5.1239,42.9768,1
0.6128,0.3513,4.748,15.7637,1
0.5345,0.3682,4.5813,14.1272,1
0.6648,0.3275,4.8247,18.6091,1
0.8585,0.4072,5.141,22.2031,1
0.8111,0.3936,5.1458,9.4312,1
0.8002,0.3981,5.1927,7.2852,1
0.782,0.3817,5.1086,7.8221,1
0.7444,0.396,5.0421,20.6327,1
0.8101,0.337,5.2394,18.0226,1
0.797,0.3553,5.2826,8.8813,1
0.7335,0.4067,5.2391,19.0629,1
0.776,0.3528,5.2443,18.9789,1
0.7338,0.3497,5.1356,18.7212,1
0.7101,0.3528,4.883,4.5521,1
0.8003,0.3778,5.0225,4.8036,1
0.7972,0.3677,5.049,5.1211,1
0.7772,0.3568,5.03,4.4101,1
0.7883,0.3753,4.9969,4.4666,1
0.763,0.3121,4.636,46.6066,1
0.7331,0.3298,4.5218,68.0525,1
0.8226,0.3851,4.6675,7.5094,1
0.8212,0.367,4.7416,9.4207,1
0.7943,0.4072,4.9421,6.758,1
0.7475,0.3347,4.8462,6.971,1
0.7423,0.3248,4.7162,6.3851,1
0.5102,0.3377,5.219,27.2909,1
0.6679,0.3256,5.2233,26.9274,1
0.6094,0.3341,5.3093,34.6809,1
0.5921,0.3372,5.2809,28.0269,1
0.5022,0.4562,4.9109,13.8182,1
0.6052,0.4248,5.0427,18.3937,1
0.8166,0.4725,3.6882,2.6555,1
0.6021,0.4161,4.9158,16.7683,1
0.6162,0.3588,4.8729,22.7763,1
0.728,0.3882,5.3268,21.4602,1
0.7473,0.3663,4.9844,24.0031,1
0.7411,0.4271,5.2743,29.2454,1
0.7496,0.3944,5.2418,17.9832,1
0.7459,0.398,5.3309,32.4087,1
0.7254,0.3538,5.1266,14.7201,1
0.7017,0.378,5.2367,32.0824,1
0.7254,0.4196,5.0669,23.1306,1
0.6993,0.3988,5.3016,30.707,1
0.7136,0.3942,5.351,31.267,1
0.7999,0.3984,5.1931,35.0831,1
0.852,0.3632,5.1611,14.2485,1
0.8684,0.4133,4.9702,13.5885,1
0.8323,0.3641,5.0901,19.6307,1
0.6957,0.36,5.2817,31.4464,1
0.7041,0.3484,5.2866,30.6644,1
0.7538,0.3122,5.3714,31.6633,1
0.7851,0.3422,4.4702,11.4292,1
0.6735,0.3901,5.1079,82.9237,1
0.7165,0.3791,5.1592,99.7449,1
0.6202,0.3934,4.8933,66.7983,1
0.6209,0.4171,4.923,6.1415,1
0.6976,0.3199,5.064,12.0705,1
0.7112,0.3525,5.3142,42.0837,1
0.6921,0.3033,5.2298,28.2281,1
0.7303,0.3451,5.3075,26.3909,1
0.7383,0.3826,5.2832,27.5571,1
0.6853,0.3799,5.2378,25.7733,1
0.7498,0.5127,4.5239,10.1655,1
0.641,0.3634,5.0959,14.8608,1
0.5289,0.4489,5.1463,17.2252,1
0.8155,0.3929,5.2776,29.5487,1
0.7788,0.4131,5.2076,24.9023,1
0.543,0.4083,5.2469,21.5988,1
0.5448,0.3828,5.3996,19.8752,1
0.6712,0.3304,5.321,23.1519,1
0.7661,0.4216,5.2701,25.34,1
0.7586,0.4198,5.2709,25.2635,1
0.6751,0.3284,5.2789,20.5895,1
0.4375,0.414,5.1828,7.3566,1
0.4849,0.4301,5.127,7.7479,1
0.5218,0.4234,5.0857,7.5925,1
0.5568,0.4547,4.9428,5.4103,1
0.4688,0.4399,4.9893,6.1723,1
0.7748,0.3971,4.9852,14.0837,1
0.6893,0.4042,5.2276,18.4883,1
0.5263,0.3984,5.2943,20.2491,1
0.4095,0.3947,5.2856,16.9027,1
0.4961,0.3905,5.3143,18.0351,1
0.0224,0.3902,5.2957,17.8267,1
0.0364,0.4023,5.228,21.3035,1
0.0239,0.4062,5.2505,20.8318,1
0.0325,0.3875,5.2814,22.168,1
0.0416,0.4075,5.2792,16.6637,1
0.0323,0.3801,5.2511,28.4735,1
0.0798,0.4199,5.0495,6.4901,1
0.0612,0.4357,5.0436,5.3376,1
0.0324,0.4265,5.091,6.6169,1
0.0874,0.3869,5.3984,7.7105,1
0.0387,0.4044,5.4061,6.4521,1
0.2605,0.321,5.1341,10.1013,1
0.1495,0.3729,5.349,38.9234,1
0.0586,0.4163,5.2288,41.2705,1
0.02,0.4229,4.851,48.2339,1
0.0294,0.4134,5.1234,42.7489,1
0.0609,0.3514,4.7096,15.597,1
0.0506,0.3688,4.5485,13.9325,1
0.3416,0.3249,4.7543,18.0088,1
0.5092,0.4177,5.0591,22.0781,1
0.3878,0.3962,5.0849,9.1164,1
0.3461,0.4011,5.1439,7.1712,1
0.2628,0.383,5.0314,7.6794,1
0.156,0.4035,4.9304,19.6751,1
0.323,0.3365,5.1439,16.9508,1
0.3151,0.3504,5.216,8.5869,1
0.1513,0.4092,5.1502,18.1013,1
0.2155,0.3553,5.1919,18.0435,1
0.1478,0.3506,5.069,17.7755,1
0.1716,0.3569,4.8141,4.4544,1
0.3194,0.3802,4.9714,4.7931,1
0.2842,0.371,4.9929,4.9978,1
0.2722,0.3615,4.9732,4.3021,1
0.2817,0.3793,4.9409,4.339,1
0.2128,0.3212,4.5201,46.2941,1
0.3258,0.3304,4.4529,67.8909,1
0.5729,0.3863,4.5865,7.3714,1
0.5064,0.3676,4.6649,9.1106,1
0.2533,0.4154,4.8428,6.5492,1
0.1617,0.3419,4.7155,6.7505,1
0.222,0.3125,4.5655,7.209,1
0.2036,0.3334,4.5815,6.1622,1
0.0797,0.3345,5.1889,26.0567,1
0.0926,0.3355,5.2625,27.2748,1
0.1135,0.4576,4.8769,13.182,1
0.106,0.4242,5.0244,17.7169,1
0.0832,0.4728,3.6895,2.4837,1
0.0525,0.4126,4.8841,16.0524,1
0.2216,0.3672,4.831,22.1977,1
0.1508,0.3859,5.2957,20.732,1
0.1657,0.3661,4.9388,23.8064,1
0.1752,0.4262,5.2627,28.2742,1
